,TMIN,TMAX
2024-10-01,49.0,72.0
2024-10-02,44.0,74.0
2024-10-03,56.0,87.0
2024-10-04,60.0,83.0
2024-10-05,62.0,89.0
2024-10-06,56.0,79.0
2024-10-07,47.0,72.0
2024-10-08,43.0,74.0
2024-10-09,46.0,78.0
2024-10-10,49.0,80.0
